,result,table,_start,_stop,_time,_value,_field,_measurement,eth_block,host,pol_block
,,1367,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T15:20:00Z,1,delta,delta_blocks,14462571,xmev-capture,14462570
,,1368,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T13:40:00Z,1,delta,delta_blocks,14462129,xmev-capture,14462128
,,1369,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-25T22:30:00Z,2,delta,delta_blocks,14458068,xmev-capture,14458068
,,1370,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T08:20:00Z,1,delta,delta_blocks,14460722,xmev-capture,14460722
,,1371,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T09:00:00Z,0,delta,delta_blocks,14460889,xmev-capture,14460889
,,1372,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T09:10:00Z,0,delta,delta_blocks,14460947,xmev-capture,14460946
,,1373,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T12:40:00Z,1,delta,delta_blocks,14461851,xmev-capture,14461850
,,1374,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T11:50:00Z,1,delta,delta_blocks,14461646,xmev-capture,14461645
,,1375,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T13:40:00Z,1,delta,delta_blocks,14462097,xmev-capture,14462097
,,1376,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T08:40:00Z,2,delta,delta_blocks,14460778,xmev-capture,14460778
,,1377,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T13:50:00Z,0,delta,delta_blocks,14462176,xmev-capture,14462174
,,1378,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T16:00:00Z,2,delta,delta_blocks,14462732,xmev-capture,14462732
,,1379,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T09:40:00Z,1,delta,delta_blocks,14461068,xmev-capture,14461067
,,1380,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T07:50:00Z,1,delta,delta_blocks,14460606,xmev-capture,14460606
,,1381,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T13:00:00Z,1,delta,delta_blocks,14461926,xmev-capture,14461925
,,1382,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T10:50:00Z,2,delta,delta_blocks,14461365,xmev-capture,14461365
,,1383,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T12:50:00Z,1,delta,delta_blocks,14461897,xmev-capture,14461896
,,1384,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T11:10:00Z,2,delta,delta_blocks,14461468,xmev-capture,14461468
,,1385,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T14:40:00Z,2,delta,delta_blocks,14462401,xmev-capture,14462401
,,1386,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T12:20:00Z,1,delta,delta_blocks,14461789,xmev-capture,14461788
,,1387,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T09:30:00Z,1,delta,delta_blocks,14461027,xmev-capture,14461026
,,1388,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T12:00:00Z,0,delta,delta_blocks,14461675,xmev-capture,14461673
,,1389,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T12:20:00Z,1,delta,delta_blocks,14461773,xmev-capture,14461772
,,1390,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T09:00:00Z,2,delta,delta_blocks,14460896,xmev-capture,14460897
,,1391,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T14:10:00Z,0,delta,delta_blocks,14462259,xmev-capture,14462257
,,1392,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T16:20:00Z,0,delta,delta_blocks,14462853,xmev-capture,14462852
,,1393,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T15:30:00Z,2,delta,delta_blocks,14462641,xmev-capture,14462641
,,1394,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T08:30:00Z,1,delta,delta_blocks,14460743,xmev-capture,14460742
,,1395,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T13:20:00Z,1,delta,delta_blocks,14462030,xmev-capture,14462029
,,1396,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-25T22:30:00Z,0,delta,delta_blocks,14458087,xmev-capture,14458086
,,1397,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T12:30:00Z,0,delta,delta_blocks,14461833,xmev-capture,14461831
,,1398,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T16:20:00Z,2,delta,delta_blocks,14462859,xmev-capture,14462859
,,1399,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T08:20:00Z,1,delta,delta_blocks,14460707,xmev-capture,14460706
,,1400,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T12:10:00Z,0,delta,delta_blocks,14461742,xmev-capture,14461740
,,1401,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T16:40:00Z,2,delta,delta_blocks,14462965,xmev-capture,14462965
,,1402,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T09:10:00Z,1,delta,delta_blocks,14460942,xmev-capture,14460941
,,1403,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T12:40:00Z,0,delta,delta_blocks,14461856,xmev-capture,14461854
,,1404,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T08:50:00Z,2,delta,delta_blocks,14460859,xmev-capture,14460859
,,1405,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T14:10:00Z,0,delta,delta_blocks,14462269,xmev-capture,14462268
,,1406,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T15:40:00Z,2,delta,delta_blocks,14462656,xmev-capture,14462656
,,1407,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T08:00:00Z,0,delta,delta_blocks,14460624,xmev-capture,14460622
,,1408,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T10:30:00Z,1,delta,delta_blocks,14461268,xmev-capture,14461267
,,1409,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T13:00:00Z,1,delta,delta_blocks,14461915,xmev-capture,14461914
,,1410,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T11:10:00Z,1,delta,delta_blocks,14461479,xmev-capture,14461478
,,1411,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T16:30:00Z,1,delta,delta_blocks,14462879,xmev-capture,14462879
,,1412,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T14:20:00Z,1,delta,delta_blocks,14462304,xmev-capture,14462303
,,1413,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T10:00:00Z,1,delta,delta_blocks,14461138,xmev-capture,14461138
,,1414,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T14:00:00Z,1,delta,delta_blocks,14462201,xmev-capture,14462200
,,1415,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T13:10:00Z,1,delta,delta_blocks,14461978,xmev-capture,14461977
,,1416,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T08:10:00Z,1,delta,delta_blocks,14460686,xmev-capture,14460685
,,1417,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T12:30:00Z,1,delta,delta_blocks,14461829,xmev-capture,14461829
,,1418,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T15:50:00Z,0,delta,delta_blocks,14462695,xmev-capture,14462693
,,1419,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T14:30:00Z,0,delta,delta_blocks,14462346,xmev-capture,14462345
,,1420,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T15:00:00Z,2,delta,delta_blocks,14462471,xmev-capture,14462470
,,1421,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T07:50:00Z,0,delta,delta_blocks,14460597,xmev-capture,14460596
,,1422,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T08:20:00Z,1,delta,delta_blocks,14460726,xmev-capture,14460725
,,1423,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T08:40:00Z,1,delta,delta_blocks,14460817,xmev-capture,14460816
,,1424,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T09:50:00Z,0,delta,delta_blocks,14461128,xmev-capture,14461127
,,1425,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T16:30:00Z,2,delta,delta_blocks,14462882,xmev-capture,14462882
,,1426,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T08:20:00Z,0,delta,delta_blocks,14460699,xmev-capture,14460698
,,1427,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T10:20:00Z,2,delta,delta_blocks,14461232,xmev-capture,14461233
,,1428,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T16:30:00Z,1,delta,delta_blocks,14462895,xmev-capture,14462894
,,1429,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T09:30:00Z,2,delta,delta_blocks,14461038,xmev-capture,14461038
,,1430,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T16:10:00Z,1,delta,delta_blocks,14462814,xmev-capture,14462813
,,1431,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T08:50:00Z,0,delta,delta_blocks,14460821,xmev-capture,14460820
,,1432,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T15:00:00Z,1,delta,delta_blocks,14462485,xmev-capture,14462484
,,1433,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T14:20:00Z,0,delta,delta_blocks,14462305,xmev-capture,14462303
,,1434,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T16:00:00Z,0,delta,delta_blocks,14462742,xmev-capture,14462741
,,1435,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T16:40:00Z,1,delta,delta_blocks,14462958,xmev-capture,14462957
,,1436,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T12:40:00Z,1,delta,delta_blocks,14461839,xmev-capture,14461838
,,1437,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T16:10:00Z,0,delta,delta_blocks,14462797,xmev-capture,14462795
,,1438,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T14:50:00Z,1,delta,delta_blocks,14462418,xmev-capture,14462417
,,1439,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T13:50:00Z,2,delta,delta_blocks,14462183,xmev-capture,14462183
,,1440,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T13:30:00Z,0,delta,delta_blocks,14462066,xmev-capture,14462065
,,1441,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T15:40:00Z,1,delta,delta_blocks,14462682,xmev-capture,14462681
,,1442,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T12:10:00Z,0,delta,delta_blocks,14461733,xmev-capture,14461731
,,1443,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T10:20:00Z,0,delta,delta_blocks,14461233,xmev-capture,14461233
,,1444,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T09:50:00Z,1,delta,delta_blocks,14461100,xmev-capture,14461099
,,1445,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T15:40:00Z,1,delta,delta_blocks,14462678,xmev-capture,14462677
,,1446,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T16:00:00Z,0,delta,delta_blocks,14462768,xmev-capture,14462766
,,1447,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T11:00:00Z,1,delta,delta_blocks,14461422,xmev-capture,14461421
,,1448,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T12:40:00Z,0,delta,delta_blocks,14461835,xmev-capture,14461835
