,result,table,_start,_stop,_time,_value,_field,_measurement,host,timestamp
,,590,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T07:32:00Z,-46,delta,delta_block_time,xmev-capture,1648452689274
,,591,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:31:00Z,-27,delta,delta_block_time,xmev-capture,1648459802406
,,592,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:37:00Z,12,delta,delta_block_time,xmev-capture,1648460174723
,,593,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:22:00Z,-20,delta,delta_block_time,xmev-capture,1648459286066
,,594,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:37:00Z,-60,delta,delta_block_time,xmev-capture,1648460202682
,,595,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:35:00Z,12,delta,delta_block_time,xmev-capture,1648460050623
,,596,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T10:15:00Z,-53,delta,delta_block_time,xmev-capture,1648462468270
,,597,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T10:07:00Z,-23,delta,delta_block_time,xmev-capture,1648462007980
,,598,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:53:00Z,-32,delta,delta_block_time,xmev-capture,1648457532789
,,599,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T10:07:00Z,-41,delta,delta_block_time,xmev-capture,1648462011955
,,600,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T07:49:00Z,15,delta,delta_block_time,xmev-capture,1648453690034
,,601,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:20:00Z,-16,delta,delta_block_time,xmev-capture,1648459189964
,,602,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T10:18:00Z,-40,delta,delta_block_time,xmev-capture,1648462668422
,,603,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:01:00Z,-17,delta,delta_block_time,xmev-capture,1648458041163
,,604,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:35:00Z,-17,delta,delta_block_time,xmev-capture,1648456464019
,,605,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:13:00Z,-23,delta,delta_block_time,xmev-capture,1648458777693
,,606,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T10:24:00Z,-50,delta,delta_block_time,xmev-capture,1648462996646
