,result,table,_start,_stop,_time,_value,_field,_measurement,host,timestamp
,,151,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:48:00Z,33,lag,ethereum_lag,xmev-capture,1648453629993
,,152,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:32:00Z,5,lag,polygon_lag,xmev-capture,1648456279910
,,153,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:08:00Z,5,lag,polygon_lag,xmev-capture,1648454826831
,,154,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:52:00Z,3,lag,polygon_lag,xmev-capture,1648453870157
,,155,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:17:00Z,5,lag,ethereum_lag,xmev-capture,1648458969854
,,156,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:45:00Z,5,lag,polygon_lag,xmev-capture,1648457080468
,,157,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:57:00Z,34,lag,ethereum_lag,xmev-capture,1648457800979
,,158,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:39:00Z,25,lag,ethereum_lag,xmev-capture,1648456684172
,,159,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:55:00Z,9,lag,polygon_lag,xmev-capture,1648454086306
,,160,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:01:00Z,7,lag,ethereum_lag,xmev-capture,1648454450559
,,161,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:37:00Z,5,lag,polygon_lag,xmev-capture,1648456596121
,,162,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:09:00Z,1,lag,polygon_lag,xmev-capture,1648454934908
,,163,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:10:00Z,23,lag,ethereum_lag,xmev-capture,1648458565541
,,164,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:41:00Z,7,lag,polygon_lag,xmev-capture,1648456840306
,,165,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:29:00Z,4,lag,polygon_lag,xmev-capture,1648459682342
,,166,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:13:00Z,13,lag,ethereum_lag,xmev-capture,1648455123029
,,167,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:24:00Z,7,lag,polygon_lag,xmev-capture,1648455807580
,,168,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:03:00Z,7,lag,polygon_lag,xmev-capture,1648458149282
,,169,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:08:00Z,7,lag,polygon_lag,xmev-capture,1648458425457
,,170,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:09:00Z,5,lag,polygon_lag,xmev-capture,1648454918897
,,171,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:31:00Z,6,lag,polygon_lag,xmev-capture,1648459854484
,,172,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:56:00Z,11,lag,ethereum_lag,xmev-capture,1648457756949
,,173,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:35:00Z,6,lag,polygon_lag,xmev-capture,1648456472048
,,174,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T10:01:00Z,6,lag,polygon_lag,xmev-capture,1648461639727
,,175,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:13:00Z,8,lag,polygon_lag,xmev-capture,1648458721704
,,176,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:10:00Z,9,lag,polygon_lag,xmev-capture,1648458541550
,,177,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:02:00Z,7,lag,ethereum_lag,xmev-capture,1648454506587
,,178,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:04:00Z,6,lag,ethereum_lag,xmev-capture,1648458189273
,,179,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:34:00Z,7,lag,polygon_lag,xmev-capture,1648456436037
,,180,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:42:00Z,24,lag,ethereum_lag,xmev-capture,1648456860288
,,181,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:57:00Z,3,lag,polygon_lag,xmev-capture,1648461415609
,,182,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:23:00Z,7,lag,polygon_lag,xmev-capture,1648455751526
,,183,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:36:00Z,6,lag,polygon_lag,xmev-capture,1648456540120
,,184,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:46:00Z,1,lag,polygon_lag,xmev-capture,1648457136517
,,185,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:05:00Z,8,lag,polygon_lag,xmev-capture,1648458269360
,,186,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:43:00Z,5,lag,polygon_lag,xmev-capture,1648456924368
,,187,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:29:00Z,13,lag,ethereum_lag,xmev-capture,1648459734352
,,188,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:41:00Z,8,lag,polygon_lag,xmev-capture,1648456820332
,,189,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:37:00Z,5,lag,polygon_lag,xmev-capture,1648460178682
,,190,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:26:00Z,7,lag,polygon_lag,xmev-capture,1648455947668
,,191,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:36:00Z,6,lag,polygon_lag,xmev-capture,1648460126673
,,192,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:04:00Z,7,lag,polygon_lag,xmev-capture,1648454630725
,,193,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:43:00Z,12.5,lag,ethereum_lag,xmev-capture,1648453357771
,,194,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:51:00Z,7,lag,polygon_lag,xmev-capture,1648457404697
,,195,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:37:00Z,5,lag,polygon_lag,xmev-capture,1648456608137
,,196,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:38:00Z,37,lag,ethereum_lag,xmev-capture,1648456632154
,,197,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:28:00Z,7,lag,ethereum_lag,xmev-capture,1648459654298
,,198,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:47:00Z,4,lag,polygon_lag,xmev-capture,1648460787109
,,199,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:58:00Z,8,lag,polygon_lag,xmev-capture,1648454274468
,,200,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:37:00Z,2,lag,polygon_lag,xmev-capture,1648460214730
,,201,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:56:00Z,7,lag,polygon_lag,xmev-capture,1648457753102
,,202,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:44:00Z,5,lag,polygon_lag,xmev-capture,1648453425830
,,203,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T07:51:00Z,3,lag,polygon_lag,xmev-capture,1648453838135
,,204,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:44:00Z,9,lag,polygon_lag,xmev-capture,1648460587010
,,205,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T10:12:00Z,11,lag,polygon_lag,xmev-capture,1648462284165
,,206,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:22:00Z,9,lag,polygon_lag,xmev-capture,1648459318098
,,207,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:08:00Z,7,lag,polygon_lag,xmev-capture,1648458477511
,,208,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:28:00Z,9,lag,polygon_lag,xmev-capture,1648459634307
,,209,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:14:00Z,26,lag,ethereum_lag,xmev-capture,1648458829722
,,210,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:31:00Z,4,lag,polygon_lag,xmev-capture,1648459822431
,,211,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:56:00Z,4,lag,polygon_lag,xmev-capture,1648457716950
,,212,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:12:00Z,7,lag,polygon_lag,xmev-capture,1648458701672
,,213,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:23:00Z,8,lag,polygon_lag,xmev-capture,1648455767549
,,214,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:18:00Z,2,lag,polygon_lag,xmev-capture,1648459061909
,,215,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:53:00Z,5,lag,polygon_lag,xmev-capture,1648457552807
,,216,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T09:27:00Z,8,lag,polygon_lag,xmev-capture,1648459570268
,,217,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:08:00Z,8,lag,polygon_lag,xmev-capture,1648454854865
,,218,2022-03-28T07:20:12.459234443Z,2022-03-28T10:20:12.459234443Z,2022-03-28T08:22:00Z,8,lag,polygon_lag,xmev-capture,1648455687468
