_start;_stop;_time;_value;_field;_measurement;eth_block;host;pol_block
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:28:00Z;1;delta;delta_blocks;14460763;xmev-capture;14460762
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:34:00Z;2;delta;delta_blocks;14460795;xmev-capture;14460794
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:28:00Z;0;delta;delta_blocks;14460766;xmev-capture;14460765
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:04:00Z;1;delta;delta_blocks;14461175;xmev-capture;14461174
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T09:00:00Z;1;delta;delta_blocks;14460905;xmev-capture;14460904
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T07:38:00Z;2;delta;delta_blocks;14460560;xmev-capture;14460560
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:10:00Z;2;delta;delta_blocks;14460685;xmev-capture;14460684
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T07:54:00Z;1;delta;delta_blocks;14460627;xmev-capture;14460626
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T09:44:00Z;1;delta;delta_blocks;14461101;xmev-capture;14461100
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T09:26:00Z;1;delta;delta_blocks;14461021;xmev-capture;14461020
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:26:00Z;1;delta;delta_blocks;14461292;xmev-capture;14461291
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T07:44:00Z;1;delta;delta_blocks;14460582;xmev-capture;14460581
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T09:10:00Z;2;delta;delta_blocks;14460950;xmev-capture;14460950
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:32:00Z;0;delta;delta_blocks;14461314;xmev-capture;14461314
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:06:00Z;0;delta;delta_blocks;14460665;xmev-capture;14460663
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:18:00Z;2;delta;delta_blocks;14460724;xmev-capture;14460724
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T13:28:00Z;1;delta;delta_blocks;14462076;xmev-capture;14462075
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T11:08:00Z;1;delta;delta_blocks;14461476;xmev-capture;14461476
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:36:00Z;2;delta;delta_blocks;14461339;xmev-capture;14461339
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:14:00Z;1;delta;delta_blocks;14461228;xmev-capture;14461227
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T11:38:00Z;0;delta;delta_blocks;14461595;xmev-capture;14461594
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T12:20:00Z;2;delta;delta_blocks;14461790;xmev-capture;14461790
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T09:54:00Z;2;delta;delta_blocks;14461141;xmev-capture;14461141
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T12:02:00Z;1;delta;delta_blocks;14461703;xmev-capture;14461702
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:18:00Z;2;delta;delta_blocks;14461251;xmev-capture;14461250
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T11:44:00Z;0;delta;delta_blocks;14461626;xmev-capture;14461624
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:46:00Z;0;delta;delta_blocks;14461380;xmev-capture;14461379
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T09:32:00Z;2;delta;delta_blocks;14461048;xmev-capture;14461048
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:52:00Z;3;delta;delta_blocks;14460875;xmev-capture;14460875
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T14:30:00Z;0;delta;delta_blocks;14462361;xmev-capture;14462360
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T09:40:00Z;0;delta;delta_blocks;14461088;xmev-capture;14461087
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:44:00Z;2;delta;delta_blocks;14460842;xmev-capture;14460842
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:38:00Z;1;delta;delta_blocks;14461342;xmev-capture;14461341
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T09:00:00Z;1;delta;delta_blocks;14460918;xmev-capture;14460917
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T11:22:00Z;0;delta;delta_blocks;14461534;xmev-capture;14461533
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:06:00Z;1;delta;delta_blocks;14460672;xmev-capture;14460671
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T09:36:00Z;1;delta;delta_blocks;14461062;xmev-capture;14461062
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T09:40:00Z;2;delta;delta_blocks;14461086;xmev-capture;14461087
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T11:00:00Z;1;delta;delta_blocks;14461438;xmev-capture;14461438
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T09:38:00Z;1;delta;delta_blocks;14461076;xmev-capture;14461075
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T14:04:00Z;1;delta;delta_blocks;14462245;xmev-capture;14462244
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:44:00Z;0;delta;delta_blocks;14460836;xmev-capture;14460834
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T13:28:00Z;1;delta;delta_blocks;14462077;xmev-capture;14462076
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T12:40:00Z;2;delta;delta_blocks;14461870;xmev-capture;14461870
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:10:00Z;0;delta;delta_blocks;14460684;xmev-capture;14460682
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T09:54:00Z;1;delta;delta_blocks;14461143;xmev-capture;14461142
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T09:46:00Z;1;delta;delta_blocks;14461102;xmev-capture;14461101
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:42:00Z;1;delta;delta_blocks;14461368;xmev-capture;14461367
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T11:46:00Z;1;delta;delta_blocks;14461635;xmev-capture;14461634
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:44:00Z;1;delta;delta_blocks;14460833;xmev-capture;14460832
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T13:12:00Z;1;delta;delta_blocks;14462009;xmev-capture;14462008
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:34:00Z;0;delta;delta_blocks;14461316;xmev-capture;14461315
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:16:00Z;2;delta;delta_blocks;14460713;xmev-capture;14460712
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T13:10:00Z;1;delta;delta_blocks;14462002;xmev-capture;14462002
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:14:00Z;1;delta;delta_blocks;14461226;xmev-capture;14461225
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T11:20:00Z;3;delta;delta_blocks;14461528;xmev-capture;14461529
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T11:42:00Z;1;delta;delta_blocks;14461622;xmev-capture;14461622
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T14:56:00Z;2;delta;delta_blocks;14462479;xmev-capture;14462479
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T09:00:00Z;2;delta;delta_blocks;14460908;xmev-capture;14460908
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:50:00Z;1;delta;delta_blocks;14460856;xmev-capture;14460855
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:46:00Z;1;delta;delta_blocks;14460846;xmev-capture;14460845
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:52:00Z;2;delta;delta_blocks;14461408;xmev-capture;14461407
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:18:00Z;3;delta;delta_blocks;14461243;xmev-capture;14461244
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T12:14:00Z;0;delta;delta_blocks;14461759;xmev-capture;14461758
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T12:24:00Z;2;delta;delta_blocks;14461807;xmev-capture;14461807
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T11:00:00Z;1;delta;delta_blocks;14461444;xmev-capture;14461443
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T11:42:00Z;1;delta;delta_blocks;14461620;xmev-capture;14461619
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T12:50:00Z;1;delta;delta_blocks;14461910;xmev-capture;14461909
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T09:18:00Z;0;delta;delta_blocks;14460979;xmev-capture;14460978
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:52:00Z;1;delta;delta_blocks;14460871;xmev-capture;14460870
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T14:58:00Z;1;delta;delta_blocks;14462484;xmev-capture;14462483
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:52:00Z;1;delta;delta_blocks;14460863;xmev-capture;14460862
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:04:00Z;0;delta;delta_blocks;14461174;xmev-capture;14461173
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:22:00Z;1;delta;delta_blocks;14461263;xmev-capture;14461262
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T12:00:00Z;1;delta;delta_blocks;14461700;xmev-capture;14461699
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:18:00Z;0;delta;delta_blocks;14461245;xmev-capture;14461244
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T09:26:00Z;1;delta;delta_blocks;14461009;xmev-capture;14461008
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T12:06:00Z;0;delta;delta_blocks;14461725;xmev-capture;14461723
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T09:14:00Z;0;delta;delta_blocks;14460966;xmev-capture;14460966
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T09:16:00Z;0;delta;delta_blocks;14460974;xmev-capture;14460973
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T09:14:00Z;3;delta;delta_blocks;14460965;xmev-capture;14460966
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:08:00Z;1;delta;delta_blocks;14460679;xmev-capture;14460678
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T12:32:00Z;3;delta;delta_blocks;14461841;xmev-capture;14461842
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T09:20:00Z;1;delta;delta_blocks;14460990;xmev-capture;14460989
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T13:58:00Z;0;delta;delta_blocks;14462222;xmev-capture;14462221
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T12:40:00Z;3;delta;delta_blocks;14461873;xmev-capture;14461873
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:24:00Z;1;delta;delta_blocks;14461281;xmev-capture;14461281
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T13:12:00Z;0;delta;delta_blocks;14462014;xmev-capture;14462013
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T11:36:00Z;0;delta;delta_blocks;14461592;xmev-capture;14461591
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:16:00Z;0;delta;delta_blocks;14460719;xmev-capture;14460718
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:44:00Z;1;delta;delta_blocks;14461372;xmev-capture;14461371
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:00:00Z;1;delta;delta_blocks;14461157;xmev-capture;14461156
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:12:00Z;0;delta;delta_blocks;14461220;xmev-capture;14461219
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T14:48:00Z;1;delta;delta_blocks;14462454;xmev-capture;14462453
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:04:00Z;0;delta;delta_blocks;14461180;xmev-capture;14461179
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T11:42:00Z;0;delta;delta_blocks;14461609;xmev-capture;14461607
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T14:48:00Z;2;delta;delta_blocks;14462447;xmev-capture;14462446
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:10:00Z;1;delta;delta_blocks;14461209;xmev-capture;14461209
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T11:54:00Z;1;delta;delta_blocks;14461661;xmev-capture;14461661
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:28:00Z;2;delta;delta_blocks;14460764;xmev-capture;14460764
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T11:08:00Z;0;delta;delta_blocks;14461474;xmev-capture;14461472
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T09:56:00Z;0;delta;delta_blocks;14461147;xmev-capture;14461145
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T13:56:00Z;1;delta;delta_blocks;14462208;xmev-capture;14462207
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T09:56:00Z;2;delta;delta_blocks;14461148;xmev-capture;14461147
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T14:54:00Z;1;delta;delta_blocks;14462469;xmev-capture;14462468
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T15:14:00Z;1;delta;delta_blocks;14462572;xmev-capture;14462571
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T14:08:00Z;2;delta;delta_blocks;14462260;xmev-capture;14462259
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T15:10:00Z;2;delta;delta_blocks;14462547;xmev-capture;14462546
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T09:12:00Z;0;delta;delta_blocks;14460961;xmev-capture;14460960
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:12:00Z;1;delta;delta_blocks;14461212;xmev-capture;14461212
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T11:34:00Z;0;delta;delta_blocks;14461578;xmev-capture;14461577
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T11:20:00Z;1;delta;delta_blocks;14461527;xmev-capture;14461526
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:32:00Z;2;delta;delta_blocks;14461308;xmev-capture;14461308
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T09:06:00Z;2;delta;delta_blocks;14460938;xmev-capture;14460938
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:42:00Z;0;delta;delta_blocks;14460831;xmev-capture;14460830
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T10:40:00Z;2;delta;delta_blocks;14461353;xmev-capture;14461353
2022-03-26T05:30:04.664624787Z;2022-03-26T17:30:04.664624787Z;2022-03-26T08:40:00Z;1;delta;delta_blocks;14460811;xmev-capture;14460810
