,result,table,_start,_stop,_time,_value,_field,_measurement,eth_block,host,pol_block
,,524,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T16:00:00Z,0,delta,delta_block_time,14462755,xmev-capture,14462755
,,525,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T09:40:00Z,31996,delta,delta_block_time,14461075,xmev-capture,14461074
,,526,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T09:30:00Z,15960,delta,delta_block_time,14461001,xmev-capture,14461000
,,527,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T08:40:00Z,3997,delta,delta_block_time,14460789,xmev-capture,14460788
,,528,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T09:50:00Z,24027,delta,delta_block_time,14461105,xmev-capture,14461102
,,529,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T13:00:00Z,3987,delta,delta_block_time,14461923,xmev-capture,14461922
,,530,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T08:10:00Z,1,delta,delta_block_time,14460662,xmev-capture,14460662
,,531,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T11:40:00Z,3,delta,delta_block_time,14461603,xmev-capture,14461603
,,532,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T14:00:00Z,12020,delta,delta_block_time,14462201,xmev-capture,14462200
,,533,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T09:00:00Z,3,delta,delta_block_time,14460897,xmev-capture,14460897
,,534,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T12:30:00Z,7970,delta,delta_block_time,14461792,xmev-capture,14461791
,,535,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T15:20:00Z,12004,delta,delta_block_time,14462590,xmev-capture,14462589
,,536,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T13:20:00Z,11,delta,delta_block_time,14462044,xmev-capture,14462044
,,537,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T12:20:00Z,7,delta,delta_block_time,14461751,xmev-capture,14461751
,,538,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-25T22:40:00Z,7,delta,delta_block_time,14458114,xmev-capture,14458114
,,539,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T11:10:00Z,36014,delta,delta_block_time,14461457,xmev-capture,14461455
,,540,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T10:50:00Z,2,delta,delta_block_time,14461398,xmev-capture,14461398
,,541,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T14:20:00Z,36017,delta,delta_block_time,14462276,xmev-capture,14462275
,,542,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T10:30:00Z,5,delta,delta_block_time,14461300,xmev-capture,14461300
,,543,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T12:10:00Z,3987,delta,delta_block_time,14461704,xmev-capture,14461703
,,544,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T11:10:00Z,4036,delta,delta_block_time,14461469,xmev-capture,14461468
,,545,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T16:00:00Z,8009,delta,delta_block_time,14462781,xmev-capture,14462780
,,546,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T10:10:00Z,48034,delta,delta_block_time,14461192,xmev-capture,14461191
