,result,table,_start,_stop,_time,_value,_field,_measurement,host,timestamp
,,65,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:30:10Z,4,delta,delta_blocks,xmev-capture,1648456203854
,,66,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:45:00Z,5,delta,delta_blocks,xmev-capture,1648453493860
,,67,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:35:50Z,13,delta,delta_blocks,xmev-capture,1648456544074
,,68,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:49:40Z,2,delta,delta_blocks,xmev-capture,1648453778070
,,69,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:42:40Z,0,delta,delta_blocks,xmev-capture,1648453357771
,,70,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:01:50Z,3,delta,delta_blocks,xmev-capture,1648454506587
,,71,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:30:20Z,7,delta,delta_blocks,xmev-capture,1648456219850
,,72,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:34:10Z,14,delta,delta_blocks,xmev-capture,1648456439991
,,73,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:12:00Z,14,delta,delta_blocks,xmev-capture,1648455111066
,,74,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:41:20Z,7,delta,delta_blocks,xmev-capture,1648456876331
,,75,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:05:00Z,6,delta,delta_blocks,xmev-capture,1648454694717
,,76,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:51:10Z,4,delta,delta_blocks,xmev-capture,1648453866158
,,77,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:51:40Z,8,delta,delta_blocks,xmev-capture,1648453898161
,,78,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:23:10Z,6,delta,delta_blocks,xmev-capture,1648455787548
,,79,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:18:00Z,2,delta,delta_blocks,xmev-capture,1648455475310
,,80,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:44:00Z,7,delta,delta_blocks,xmev-capture,1648453437826
,,81,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:15:50Z,4,delta,delta_blocks,xmev-capture,1648455347205
,,82,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:09:30Z,4,delta,delta_blocks,xmev-capture,1648454962928
,,83,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:12:10Z,1,delta,delta_blocks,xmev-capture,1648455127036
,,84,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:19:50Z,5,delta,delta_blocks,xmev-capture,1648455583377
,,85,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:27:20Z,11,delta,delta_blocks,xmev-capture,1648456035714
,,86,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:29:40Z,0,delta,delta_blocks,xmev-capture,1648456171829
,,87,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:11:30Z,14,delta,delta_blocks,xmev-capture,1648455083005
,,88,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:33:40Z,1,delta,delta_blocks,xmev-capture,1648456412004
,,89,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:44:40Z,5,delta,delta_blocks,xmev-capture,1648453477848
,,90,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:28:10Z,5,delta,delta_blocks,xmev-capture,1648456087769
,,91,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:00:40Z,13,delta,delta_blocks,xmev-capture,1648454434545
,,92,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:00:20Z,5,delta,delta_blocks,xmev-capture,1648454410553
,,93,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:34:20Z,2,delta,delta_blocks,xmev-capture,1648456456004
,,94,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:17:10Z,0,delta,delta_blocks,xmev-capture,1648455427308
,,95,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:05:20Z,2,delta,delta_blocks,xmev-capture,1648454718754
,,96,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:01:00Z,0,delta,delta_blocks,xmev-capture,1648454450559
,,97,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:48:20Z,1,delta,delta_blocks,xmev-capture,1648453698013
,,98,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:16:00Z,1,delta,delta_blocks,xmev-capture,1648455351205
,,99,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:56:50Z,9,delta,delta_blocks,xmev-capture,1648454202379
,,100,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:38:30Z,3,delta,delta_blocks,xmev-capture,1648456708192
,,101,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:49:30Z,9,delta,delta_blocks,xmev-capture,1648453762070
,,102,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:07:00Z,6,delta,delta_blocks,xmev-capture,1648454814814
,,103,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:57:10Z,8,delta,delta_blocks,xmev-capture,1648454226391
,,104,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:48:50Z,2,delta,delta_blocks,xmev-capture,1648453726051
,,105,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:09:50Z,2,delta,delta_blocks,xmev-capture,1648454982936
,,106,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:47:40Z,3,delta,delta_blocks,xmev-capture,1648453653979
,,107,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:31:00Z,7,delta,delta_blocks,xmev-capture,1648456255887
,,108,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:22:00Z,17,delta,delta_blocks,xmev-capture,1648455719485
,,109,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:46:00Z,30,delta,delta_blocks,xmev-capture,1648453553908
,,110,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:25:40Z,12,delta,delta_blocks,xmev-capture,1648455931642
,,111,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:04:00Z,3,delta,delta_blocks,xmev-capture,1648454630680
,,112,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:05:10Z,4,delta,delta_blocks,xmev-capture,1648454706735
,,113,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:03:20Z,9,delta,delta_blocks,xmev-capture,1648454598725
,,114,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:19:10Z,0,delta,delta_blocks,xmev-capture,1648455543401
,,115,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:01:10Z,8,delta,delta_blocks,xmev-capture,1648454466582
,,116,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:43:20Z,19,delta,delta_blocks,xmev-capture,1648453393790
,,117,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:23:40Z,15,delta,delta_blocks,xmev-capture,1648455819562
,,118,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:02:30Z,6,delta,delta_blocks,xmev-capture,1648454546624
,,119,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:12:30Z,1,delta,delta_blocks,xmev-capture,1648455147061
,,120,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:13:10Z,18,delta,delta_blocks,xmev-capture,1648455183099
,,121,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:08:20Z,25,delta,delta_blocks,xmev-capture,1648454890867
,,122,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:40:50Z,8,delta,delta_blocks,xmev-capture,1648456840424
,,123,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:18:00Z,2,delta,delta_blocks,xmev-capture,1648455471295
,,124,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:25:00Z,11,delta,delta_blocks,xmev-capture,1648455895613
,,125,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:03:30Z,1,delta,delta_blocks,xmev-capture,1648454602677
,,126,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:10:20Z,11,delta,delta_blocks,xmev-capture,1648455018951
,,127,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:02:40Z,6,delta,delta_blocks,xmev-capture,1648454558655
,,128,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:52:20Z,8,delta,delta_blocks,xmev-capture,1648453934175
,,129,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:52:30Z,3,delta,delta_blocks,xmev-capture,1648453942185
,,130,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:37:40Z,3,delta,delta_blocks,xmev-capture,1648456656180
,,131,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:31:30Z,15,delta,delta_blocks,xmev-capture,1648456283900
,,132,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:57:50Z,4,delta,delta_blocks,xmev-capture,1648454262423
,,133,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:26:30Z,13,delta,delta_blocks,xmev-capture,1648455983682
,,134,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:58:40Z,13,delta,delta_blocks,xmev-capture,1648454318463
,,135,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:54:10Z,0,delta,delta_blocks,xmev-capture,1648454042279
,,136,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:15:40Z,10,delta,delta_blocks,xmev-capture,1648455335200
,,137,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:47:50Z,2,delta,delta_blocks,xmev-capture,1648453661995
,,138,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T08:27:30Z,4,delta,delta_blocks,xmev-capture,1648456047739
,,139,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:48:40Z,0,delta,delta_blocks,xmev-capture,1648453718042
,,140,2022-03-28T07:41:39.415864037Z,2022-03-28T08:41:39.415864037Z,2022-03-28T07:50:20Z,3,delta,delta_blocks,xmev-capture,1648453818116
